Date-time;Day of the week;Duty cycle;Period of day;ID ITP;Nomer ITP;Adres MKD;FIAS MKD;UNOM MKD;ID HVS ITP;ID ODPU GVS;ID ODPU GVS ch1;ID ODPU GVS ch2;Znach HVS ITP;Znach ODPU GVS  ch1;Znach ODPU GVS  ch2;Potrebl GVS;Otkl potrebl HVS-GVS;Predict Otkl potrebl HVS-GVS;;;;;;;;;
2025-04-01 00:00:00;Tuesday;Working day;night;1a2b3c4d-5e6f-7890-abcd-ef1234567890;к1427;улица Ленина, 1, Зеленоград, Москва, 124365;1356ba19-f0c7-424d-8244-54c7a7e5a230;1356BA19-F0C7-424D-8244-54C7A7E5A230;6ba7b810-9dad-11d1-80b4-00c04fd430c8;a1b2c3d4-e5f6-789a-bcde-f123456789ab;550e8400-e29b-41d4-a716-446655440000;f47ac10b-58cc-4372-a567-0e02b2c3d479;0,11;0,23;0,12;0,11;0,00%;10,50%;;;;;;;;;
2025-04-01 01:00:00;Tuesday;Working day;night;1a2b3c4d-5e6f-7890-abcd-ef1234567890;к1427;улица Ленина, 1, Зеленоград, Москва, 124365;1356ba19-f0c7-424d-8244-54c7a7e5a230;1356BA19-F0C7-424D-8244-54C7A7E5A230;6ba7b810-9dad-11d1-80b4-00c04fd430c8;a1b2c3d4-e5f6-789a-bcde-f123456789ab;550e8400-e29b-41d4-a716-446655440000;f47ac10b-58cc-4372-a567-0e02b2c3d479;0,04;0,09;0,05;0,04;0,00%;10,50%;;;;;;;;;
2025-04-01 02:00:00;Tuesday;Working day;night;1a2b3c4d-5e6f-7890-abcd-ef1234567890;к1427;улица Ленина, 1, Зеленоград, Москва, 124365;1356ba19-f0c7-424d-8244-54c7a7e5a230;1356BA19-F0C7-424D-8244-54C7A7E5A230;6ba7b810-9dad-11d1-80b4-00c04fd430c8;a1b2c3d4-e5f6-789a-bcde-f123456789ab;550e8400-e29b-41d4-a716-446655440000;f47ac10b-58cc-4372-a567-0e02b2c3d479;0,05;0,11;0,06;0,05;0,00%;10,50%;;;;;;;;;
2025-04-01 03:00:00;Tuesday;Working day;night;1a2b3c4d-5e6f-7890-abcd-ef1234567890;к1427;улица Ленина, 1, Зеленоград, Москва, 124365;1356ba19-f0c7-424d-8244-54c7a7e5a230;1356BA19-F0C7-424D-8244-54C7A7E5A230;6ba7b810-9dad-11d1-80b4-00c04fd430c8;a1b2c3d4-e5f6-789a-bcde-f123456789ab;550e8400-e29b-41d4-a716-446655440000;f47ac10b-58cc-4372-a567-0e02b2c3d479;0,05;0,11;0,06;0,05;0,00%;10,50%;;;;;;;;;
2025-04-01 04:00:00;Tuesday;Working day;night;1a2b3c4d-5e6f-7890-abcd-ef1234567890;к1427;улица Ленина, 1, Зеленоград, Москва, 124365;1356ba19-f0c7-424d-8244-54c7a7e5a230;1356BA19-F0C7-424D-8244-54C7A7E5A230;6ba7b810-9dad-11d1-80b4-00c04fd430c8;a1b2c3d4-e5f6-789a-bcde-f123456789ab;550e8400-e29b-41d4-a716-446655440000;f47ac10b-58cc-4372-a567-0e02b2c3d479;0,06;0,14;0,08;0,06;0,00%;10,50%;;;;;;;;;
2025-04-01 05:00:00;Tuesday;Working day;night;1a2b3c4d-5e6f-7890-abcd-ef1234567890;к1427;улица Ленина, 1, Зеленоград, Москва, 124365;1356ba19-f0c7-424d-8244-54c7a7e5a230;1356BA19-F0C7-424D-8244-54C7A7E5A230;6ba7b810-9dad-11d1-80b4-00c04fd430c8;a1b2c3d4-e5f6-789a-bcde-f123456789ab;550e8400-e29b-41d4-a716-446655440000;f47ac10b-58cc-4372-a567-0e02b2c3d479;0,20;0,44;0,24;0,20;0,00%;10,50%;;;;;;;;;
2025-04-01 06:00:00;Tuesday;Working day;morning;1a2b3c4d-5e6f-7890-abcd-ef1234567890;к1427;улица Ленина, 1, Зеленоград, Москва, 124365;1356ba19-f0c7-424d-8244-54c7a7e5a230;1356BA19-F0C7-424D-8244-54C7A7E5A230;6ba7b810-9dad-11d1-80b4-00c04fd430c8;a1b2c3d4-e5f6-789a-bcde-f123456789ab;550e8400-e29b-41d4-a716-446655440000;f47ac10b-58cc-4372-a567-0e02b2c3d479;0,13;0,28;0,15;0,13;0,00%;10,50%;;;;;;;;;
2025-04-01 07:00:00;Tuesday;Working day;morning;1a2b3c4d-5e6f-7890-abcd-ef1234567890;к1427;улица Ленина, 1, Зеленоград, Москва, 124365;1356ba19-f0c7-424d-8244-54c7a7e5a230;1356BA19-F0C7-424D-8244-54C7A7E5A230;6ba7b810-9dad-11d1-80b4-00c04fd430c8;a1b2c3d4-e5f6-789a-bcde-f123456789ab;550e8400-e29b-41d4-a716-446655440000;f47ac10b-58cc-4372-a567-0e02b2c3d479;0,13;0,28;0,15;0,13;0,00%;10,60%;;;;;;;;;
2025-04-01 08:00:00;Tuesday;Working day;morning;1a2b3c4d-5e6f-7890-abcd-ef1234567890;к1427;улица Ленина, 1, Зеленоград, Москва, 124365;1356ba19-f0c7-424d-8244-54c7a7e5a230;1356BA19-F0C7-424D-8244-54C7A7E5A230;6ba7b810-9dad-11d1-80b4-00c04fd430c8;a1b2c3d4-e5f6-789a-bcde-f123456789ab;550e8400-e29b-41d4-a716-446655440000;f47ac10b-58cc-4372-a567-0e02b2c3d479;0,21;0,46;0,25;0,21;0,00%;10,60%;;;;;;;;;
2025-04-01 09:00:00;Tuesday;Working day;morning;1a2b3c4d-5e6f-7890-abcd-ef1234567890;к1427;улица Ленина, 1, Зеленоград, Москва, 124365;1356ba19-f0c7-424d-8244-54c7a7e5a230;1356BA19-F0C7-424D-8244-54C7A7E5A230;6ba7b810-9dad-11d1-80b4-00c04fd430c8;a1b2c3d4-e5f6-789a-bcde-f123456789ab;550e8400-e29b-41d4-a716-446655440000;f47ac10b-58cc-4372-a567-0e02b2c3d479;0,17;0,55;0,38;0,17;0,00%;10,60%;;;;;;;;;
2025-04-01 10:00:00;Tuesday;Working day;morning;1a2b3c4d-5e6f-7890-abcd-ef1234567890;к1427;улица Ленина, 1, Зеленоград, Москва, 124365;1356ba19-f0c7-424d-8244-54c7a7e5a230;1356BA19-F0C7-424D-8244-54C7A7E5A230;6ba7b810-9dad-11d1-80b4-00c04fd430c8;a1b2c3d4-e5f6-789a-bcde-f123456789ab;550e8400-e29b-41d4-a716-446655440000;f47ac10b-58cc-4372-a567-0e02b2c3d479;0,17;0,37;0,20;0,17;0,00%;10,60%;;;;;;;;;
2025-04-01 11:00:00;Tuesday;Working day;morning;1a2b3c4d-5e6f-7890-abcd-ef1234567890;к1427;улица Ленина, 1, Зеленоград, Москва, 124365;1356ba19-f0c7-424d-8244-54c7a7e5a230;1356BA19-F0C7-424D-8244-54C7A7E5A230;6ba7b810-9dad-11d1-80b4-00c04fd430c8;a1b2c3d4-e5f6-789a-bcde-f123456789ab;550e8400-e29b-41d4-a716-446655440000;f47ac10b-58cc-4372-a567-0e02b2c3d479;0,15;0,32;0,17;0,15;0,00%;10,60%;;;;;;;;;
2025-04-01 12:00:00;Tuesday;Working day;day;1a2b3c4d-5e6f-7890-abcd-ef1234567890;к1427;улица Ленина, 1, Зеленоград, Москва, 124365;1356ba19-f0c7-424d-8244-54c7a7e5a230;1356BA19-F0C7-424D-8244-54C7A7E5A230;6ba7b810-9dad-11d1-80b4-00c04fd430c8;a1b2c3d4-e5f6-789a-bcde-f123456789ab;550e8400-e29b-41d4-a716-446655440000;f47ac10b-58cc-4372-a567-0e02b2c3d479;0,15;0,46;0,31;0,15;0,00%;10,60%;;;;;;;;;
2025-04-01 13:00:00;Tuesday;Working day;day;1a2b3c4d-5e6f-7890-abcd-ef1234567890;к1427;улица Ленина, 1, Зеленоград, Москва, 124365;1356ba19-f0c7-424d-8244-54c7a7e5a230;1356BA19-F0C7-424D-8244-54C7A7E5A230;6ba7b810-9dad-11d1-80b4-00c04fd430c8;a1b2c3d4-e5f6-789a-bcde-f123456789ab;550e8400-e29b-41d4-a716-446655440000;f47ac10b-58cc-4372-a567-0e02b2c3d479;0,13;0,51;0,38;0,13;0,00%;10,60%;;;;;;;;;
2025-04-01 14:00:00;Tuesday;Working day;day;1a2b3c4d-5e6f-7890-abcd-ef1234567890;к1427;улица Ленина, 1, Зеленоград, Москва, 124365;1356ba19-f0c7-424d-8244-54c7a7e5a230;1356BA19-F0C7-424D-8244-54C7A7E5A230;6ba7b810-9dad-11d1-80b4-00c04fd430c8;a1b2c3d4-e5f6-789a-bcde-f123456789ab;550e8400-e29b-41d4-a716-446655440000;f47ac10b-58cc-4372-a567-0e02b2c3d479;0,11;0,55;0,44;0,11;0,00%;10,60%;;;;;;;;;
